Details of Training:-----------------------
dataset: PhonemeSpectra
local train epochs: 3
round num: 200
batch size: 8
lr: 0.05
use_client_selection: False
server_device: cuda:0
client_workers: 3
client_worker_devices: ['cuda:0', 'cuda:0', 'cuda:0']
client_groups: [[0], [1], [2]]
-------------------------------------------
har_fedproto_dir0.3
PID: 856949
PPID: 856933
ablation:  UseACF: false  UseDistribution: false  UseJointCL: false  UseJointKD: false  UseMTLHomo: false  UseProdictor: false  UseScaleCL: false  UseScaleKD: falsealgo: fedprotodataset: CharacterTrajectoriesdescription: har_fedproto_dir0.3federated:  auto_resume: true  checkpoint_every: 30  client_selection_ratio: 0.6  dirichlet_alpha: 1  numClient: 3  numEpoch: 3  numRound: 200  use_client_selection: falsefedproto:  lamda: 1.0logPath: ./result/model:  name: ''  params:    batch_size: 8    beta: 0.4    dist_measure: mix    gamma: 0.5    l: 0.01    lr: 0.05    ls: 1    momentum: 0.9    wd: 0
dataset: PhonemeSpectraround:151 server aggregation  testACC:0.23441694005368327 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:152 server aggregation  testACC:0.23471518043543096 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:153 server aggregation  testACC:0.23441694005368327 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:154 server aggregation  testACC:0.23501342081717866 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:155 server aggregation  testACC:0.23501342081717866 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:156 server aggregation  testACC:0.23471518043543096 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:157 server aggregation  testACC:0.23471518043543096 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:158 server aggregation  testACC:0.23501342081717866 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:159 server aggregation  testACC:0.23531166119892633 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:160 server aggregation  testACC:0.23441694005368327 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:161 server aggregation  testACC:0.23501342081717866 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:162 server aggregation  testACC:0.23501342081717866 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:163 server aggregation  testACC:0.23441694005368327 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:164 server aggregation  testACC:0.23471518043543096 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:165 server aggregation  testACC:0.23531166119892633 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:166 server aggregation  testACC:0.23501342081717866 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:167 server aggregation  testACC:0.23560990158067402 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:168 server aggregation  testACC:0.23471518043543096 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:169 server aggregation  testACC:0.23501342081717866 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:170 server aggregation  testACC:0.23501342081717866 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:171 server aggregation  testACC:0.23441694005368327 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:172 server aggregation  testACC:0.23471518043543096 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:173 server aggregation  testACC:0.23471518043543096 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:174 server aggregation  testACC:0.23501342081717866 trainACC:1.0 avg_loss:nan
